2021-02-20,20 de febrero,sábado,21:42,Pos bien,"",""
2021-02-19,19 de febrero,viernes,16:06,como siempre,"",""
2021-02-18,18 de febrero,jueves,20:00,Sin animo,"",""
2021-02-17,17 de febrero,miércoles,19:02,Sin animo,"",""
2021-02-17,17 de febrero,miércoles,13:12,ansioso,"",""
2021-02-17,17 de febrero,miércoles,13:12,mal,"",""
2021-02-16,16 de febrero,martes,19:02,Sin animo,"",""
2021-02-15,15 de febrero,lunes,20:53,como siempre,"",""
2021-02-14,14 de febrero,domingo,19:45,Sin animo,"",""
2021-02-13,13 de febrero,sábado,19:04,Sin animo,"",""
2021-02-12,12 de febrero,viernes,19:01,mal,"",""
2021-02-12,12 de febrero,viernes,17:27,ansioso,"",""
2021-02-11,11 de febrero,jueves,19:03,Sin animo,"",""
2021-02-10,10 de febrero,miércoles,20:34,como siempre,"",""
2021-02-09,9 de febrero,martes,19:29,como siempre,"",""
2021-02-08,8 de febrero,lunes,19:00,como siempre,"",""
2021-02-07,7 de febrero,domingo,19:06,como siempre,"",""
2021-02-06,6 de febrero,sábado,19:02,como siempre,"",""
2021-02-05,5 de febrero,viernes,19:37,como siempre,"",""
2021-02-05,5 de febrero,viernes,7:30,mal,"",""
2021-02-04,4 de febrero,jueves,22:32,mal,"",""
2021-02-04,4 de febrero,jueves,19:01,como siempre,"",""
2021-02-03,3 de febrero,miércoles,19:00,como siempre,"",""
2021-02-02,2 de febrero,martes,23:35,mal,"",""
2021-02-02,2 de febrero,martes,17:00,Sin animo,"",""
2021-02-02,2 de febrero,martes,11:11,mal,"",""
2021-02-01,1 de febrero,lunes,22:31,mal,"",""
2021-02-01,1 de febrero,lunes,18:03,como siempre,"",""
2021-02-01,1 de febrero,lunes,9:03,mal,"",""
2021-01-31,31 de enero,domingo,17:19,mal,"",""
2021-01-31,31 de enero,domingo,12:31,mal,"",""
2021-01-31,31 de enero,domingo,10:08,Sin animo,"",""
2021-01-30,30 de enero,sábado,22:36,ansioso,"",""
2021-01-30,30 de enero,sábado,18:00,como siempre,"",""
2021-01-30,30 de enero,sábado,9:25,como siempre,"",""
2021-01-29,29 de enero,viernes,17:11,ansioso,"",""
2021-01-29,29 de enero,viernes,12:56,Sin animo,"",""
2021-01-29,29 de enero,viernes,11:10,ansioso,"",""
2021-01-28,28 de enero,jueves,22:31,ansioso,"",""
2021-01-28,28 de enero,jueves,18:38,Sin animo,"",""
2021-01-28,28 de enero,jueves,12:53,Pos bien,"",""
2021-01-28,28 de enero,jueves,9:00,como siempre,"",""
2021-01-27,27 de enero,miércoles,18:00,como siempre,"",""
2021-01-27,27 de enero,miércoles,12:30,como siempre,"",""
2021-01-27,27 de enero,miércoles,9:14,como siempre,"",""
2021-01-26,26 de enero,martes,18:01,como siempre,"",""
2021-01-26,26 de enero,martes,12:44,como siempre,"",""
2021-01-26,26 de enero,martes,9:11,Sin animo,"",""
